date,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car,station_id,Spectral_Cluster
2018-01-01,24.0,34.0,28.1,80.0,21.3,8.0,6.0,240.0,3.5,8.0,96733.0,3
2018-01-02,24.0,34.0,29.7,75.0,10.344604316546762,6.9,5.0,250.0,3.5,8.0,96733.0,3
2018-01-03,26.0,34.8,28.3,78.0,10.344604316546762,4.3,5.0,280.0,3.5,8.0,96733.0,3
2018-01-04,26.0,33.8,29.0,76.0,10.344604316546762,4.8,5.0,230.0,3.5,8.0,96733.0,3
2018-01-05,26.0,30.8,27.8,72.0,0.3,1.8,7.0,250.0,3.5,8.0,96733.0,3
2018-01-06,25.0,33.6,28.3,74.0,10.344604316546762,2.1,6.0,230.0,3.5,8.0,96733.0,3
2018-01-07,26.0,30.6,27.9,78.0,10.344604316546762,0.0,3.0,260.0,3.5,8.0,96733.0,3
2018-01-08,23.0,34.2,28.7,77.0,10.344604316546762,2.5,4.0,260.0,3.5,7.0,96733.0,3
2018-01-09,24.0,34.0,28.3,80.0,10.344604316546762,4.3,4.0,190.0,3.5,5.0,96733.0,3
2018-01-10,25.0,34.2,30.0,70.0,10.344604316546762,5.1,4.0,220.0,3.5,8.0,96733.0,3
2018-01-11,24.0,33.0,27.1,77.0,0.3,0.7,6.0,260.0,3.5,8.0,96733.0,3
2018-01-12,25.0,32.4,27.9,68.0,0.2,1.1,7.0,260.0,3.5,8.0,96733.0,3
2018-01-13,25.0,33.0,27.9,81.0,1.5,3.8,4.0,260.0,3.5,8.0,96733.0,3
2018-01-14,26.0,31.6,25.6,87.0,12.2,3.4,4.0,270.0,3.5,8.0,96733.0,3
2018-01-15,23.0,31.0,24.4,93.0,9.7,1.7,5.0,230.0,3.5,8.0,96733.0,3
2018-01-16,23.0,30.6,26.6,76.0,19.3,2.1,6.0,260.0,3.5,8.0,96733.0,3
2018-01-17,24.0,29.8,25.9,87.0,10.344604316546762,0.0,3.0,220.0,3.0,7.0,96733.0,3
2018-01-18,24.0,29.0,25.1,92.0,2.3,0.0,2.0,220.0,2.0,8.0,96733.0,3
2018-01-19,24.0,29.2,26.1,84.0,6.0,0.0,5.0,250.0,3.5,8.0,96733.0,3
2018-01-20,24.0,31.4,26.5,84.0,1.3,2.0,9.0,230.0,3.5,7.0,96733.0,3
2018-01-21,24.0,31.6,27.0,82.0,6.2,0.7,4.0,250.0,3.5,8.0,96733.0,3
2018-01-22,24.0,30.4,25.6,89.0,4.5,0.0,6.0,260.0,3.5,8.0,96733.0,3
2018-01-23,24.0,32.2,26.7,84.0,1.5,3.6,4.0,260.0,3.5,8.0,96733.0,3
2018-01-24,24.0,34.0,27.1,84.0,7.8,4.4,4.0,260.0,3.5,8.0,96733.0,3
2018-01-25,25.0,29.6,25.8,85.0,25.861510791366904,0.1,5.0,230.0,3.5,7.0,96733.0,3
2018-01-26,23.0,31.2,26.9,83.0,10.344604316546762,1.6,6.0,260.0,3.5,8.0,96733.0,3
2018-01-27,23.0,32.2,28.0,76.0,4.2,1.9,5.0,260.0,3.5,8.0,96733.0,3
2018-01-28,24.0,28.8,25.2,90.0,1.3,0.8,5.0,260.0,3.5,8.0,96733.0,3
2018-01-29,23.0,31.2,25.8,86.0,7.6,3.4,4.0,240.0,3.5,7.0,96733.0,3
2018-01-30,24.0,31.3,26.0,90.0,10.7,5.9,4.0,260.0,3.5,8.0,96733.0,3
2018-01-31,24.0,31.4,26.9,84.0,4.4,1.8,3.0,250.0,3.5,8.0,96733.0,3
2018-02-01,25.0,32.8,27.4,86.0,3.0,1.8,4.0,290.0,1.0,8.0,96733.0,3
2018-02-02,25.0,33.0,27.6,83.0,20.6,3.3,4.0,280.0,2.0,8.0,96733.0,3
2018-02-03,24.0,32.0,27.1,86.0,10.344604316546762,6.3,5.0,270.0,2.0,8.0,96733.0,3
2018-02-04,24.0,31.6,27.4,85.0,1.3,4.4,4.0,260.0,2.0,8.0,96733.0,3
2018-02-05,24.0,29.0,25.0,92.0,19.1,4.8,4.0,250.0,2.0,8.0,96733.0,3
2018-02-06,24.0,29.6,24.9,92.0,16.9,0.5,3.0,230.0,2.0,8.0,96733.0,3
2018-02-07,24.0,29.6,25.4,91.0,11.3,2.9,4.0,250.0,1.0,8.0,96733.0,3
2018-02-08,24.0,30.0,25.6,93.0,1.7,1.2,4.0,250.0,2.0,2.0,96733.0,3
2018-02-09,23.0,30.4,25.9,91.0,25.861510791366904,1.4,4.0,260.0,2.0,8.0,96733.0,3
2018-02-10,24.0,31.8,27.0,86.0,7.7,5.4,5.0,280.0,3.0,8.0,96733.0,3
2018-02-11,24.0,31.7,26.2,89.0,0.4,9.8,5.0,280.0,3.0,8.0,96733.0,3
2018-02-12,24.0,30.8,26.8,84.0,10.344604316546762,0.8,5.0,270.0,3.0,8.0,96733.0,3
2018-02-13,25.0,30.2,26.8,87.0,1.7,4.9,4.0,220.0,1.0,8.0,96733.0,3
2018-02-14,25.0,29.0,26.1,87.0,0.5,0.7,3.0,270.0,1.0,8.0,96733.0,3
